Sort Name, Vector Size, Number of Comparisons, CPU Time (s),, Vector Size,Bubble sort Number of comparison,Bubble sort CPU Time,Insertion sort Number of comparison,Insertion sort CPU Time,Selection sort Number of comparison,Selection sort CPU Time,Merge sort Number of comparison,Merge sort CPU Time,Quick sort Number of comparison,Quick sort CPU Time,Shell sort Number of comparison,Shell sort CPU Time,iQuick sort Number of comparison,iQuick sort CPU Time
Bubble sort,2000,3998000,0.002383,,2000,3998000,0.002383,994949,0.000537,1999000,0.00099,19415,0.000093,23248,0.000087,20500,0.000101,22638,0.000062
Bubble sort,4000,15996000,0.00935,,4000,15996000,0.00935,4015125,0.00214,7998000,0.003862,42767,0.000198,56173,0.000197,51549,0.000222,52596,0.000128
Bubble sort,6000,35994000,0.021677,,6000,35994000,0.021677,9083767,0.004807,17997000,0.008149,67811,0.000303,89151,0.000363,71296,0.000372,89872,0.000197
Bubble sort,8000,63992000,0.036529,,8000,63992000,0.036529,16149558,0.008675,31996000,0.01398,93607,0.000414,128155,0.000465,116018,0.000492,122652,0.000278
Bubble sort,10000,99990000,0.065292,,10000,99990000,0.065292,24986578,0.013705,49995000,0.021659,120393,0.000493,159061,0.000517,153268,0.000667,151547,0.00036
Bubble sort,12000,143988000,0.102835,,12000,143988000,0.102835,36257459,0.020232,71994000,0.031247,147654,0.000601,190844,0.000625,189532,0.000802,178201,0.000429
Bubble sort,14000,195986000,0.154919,,14000,195986000,0.154919,49263973,0.027578,97993000,0.043015,175354,0.000741,224094,0.000759,216156,0.00092,235641,0.000521
Bubble sort,16000,255984000,0.223005,,16000,255984000,0.223005,64336097,0.03528,127992000,0.055778,203271,0.000811,267467,0.001019,303078,0.001162,254636,0.000634
Bubble sort,18000,323982000,0.320587,,18000,323982000,0.320587,81495835,0.045217,161991000,0.071546,232075,0.000924,301429,0.001193,314564,0.001238,291520,0.00071
Bubble sort,20000,399980000,0.392938,,20000,399980000,0.392938,100348309,0.056002,199990000,0.088193,261055,0.001037,349062,0.001071,354258,0.001398,327167,0.000874
Bubble sort,22000,483978000,0.481857,,22000,483978000,0.481857,121286820,0.066289,241989000,0.107149,290130,0.001203,364746,0.001158,357215,0.001583,362314,0.000922
Bubble sort,24000,575976000,0.580625,,24000,575976000,0.580625,144332656,0.082106,287988000,0.130219,319491,0.001305,429440,0.001398,458271,0.002003,415086,0.001032
Bubble sort,26000,675974000,0.701838,,26000,675974000,0.701838,168955498,0.094601,337987000,0.146641,349014,0.001393,452017,0.001368,497869,0.002135,450895,0.001018
Bubble sort,28000,783972000,0.878556,,28000,783972000,0.878556,196078586,0.110911,391986000,0.170556,378703,0.001502,484970,0.001514,509823,0.001988,489856,0.001213
Bubble sort,30000,899970000,1.089434,,30000,899970000,1.089434,225991180,0.12622,449985000,0.198105,408697,0.001918,513068,0.001684,571893,0.002197,497401,0.001221
Bubble sort,32000,1023968000,1.10523,,32000,1023968000,1.10523,256124538,0.145788,511984000,0.223185,438570,0.001746,570314,0.001721,760391,0.002568,548547,0.001273
Bubble sort,34000,1155966000,1.274307,,34000,1155966000,1.274307,289105828,0.164338,577983000,0.263986,469114,0.001835,617756,0.001844,661309,0.002498,579726,0.001407
Bubble sort,36000,1295964000,1.439619,,36000,1295964000,1.439619,324441315,0.179752,647982000,0.295568,499779,0.002007,656102,0.001998,749943,0.002748,660741,0.001611
Bubble sort,38000,1443962000,1.647521,,38000,1443962000,1.647521,362564599,0.199178,721981000,0.326002,531004,0.002104,766774,0.002166,780589,0.002952,626391,0.002223
Bubble sort,40000,1599960000,1.844432,,40000,1599960000,1.844432,401514019,0.226293,799980000,0.361825,561823,0.002294,731322,0.002212,899131,0.003208,666724,0.004385
Bubble sort,42000,1763958000,2.083514,,42000,1763958000,2.083514,441372195,0.250261,881979000,0.387116,592869,0.002363,753366,0.002321,1021467,0.0034,733251,0.004877
Bubble sort,44000,1935956000,2.331199,,44000,1935956000,2.331199,482835121,0.276138,967978000,0.426184,623961,0.002509,845426,0.002408,898479,0.00347,757880,0.004764
Bubble sort,46000,2115954000,2.539625,,46000,2115954000,2.539625,530131072,0.301899,1057977000,0.471727,655523,0.002661,872424,0.002554,973019,0.003624,816391,0.005382
Bubble sort,48000,2303952000,2.696128,,48000,2303952000,2.696128,576620240,0.332842,1151976000,0.549343,686658,0.002824,871802,0.00273,1060411,0.003998,852879,0.002078
Bubble sort,50000,2499950000,2.965806,,50000,2499950000,2.965806,626509716,0.356106,1249975000,0.562267,718094,0.002841,983080,0.002781,1206087,0.004094,889077,0.002153
Insertion sort,2000,994949,0.000537,,,,,,,,,,,,,,,,
Insertion sort,4000,4015125,0.00214,,,,,,,,,,,,,,,,
Insertion sort,6000,9083767,0.004807,,,,,,,,,,,,,,,,
Insertion sort,8000,16149558,0.008675,,,,,,,,,,,,,,,,
Insertion sort,10000,24986578,0.013705,,,,,,,,,,,,,,,,
Insertion sort,12000,36257459,0.020232,,,,,,,,,,,,,,,,
Insertion sort,14000,49263973,0.027578,,,,,,,,,,,,,,,,
Insertion sort,16000,64336097,0.03528,,,,,,,,,,,,,,,,
Insertion sort,18000,81495835,0.045217,,,,,,,,,,,,,,,,
Insertion sort,20000,100348309,0.056002,,,,,,,,,,,,,,,,
Insertion sort,22000,121286820,0.066289,,,,,,,,,,,,,,,,
Insertion sort,24000,144332656,0.082106,,,,,,,,,,,,,,,,
Insertion sort,26000,168955498,0.094601,,,,,,,,,,,,,,,,
Insertion sort,28000,196078586,0.110911,,,,,,,,,,,,,,,,
Insertion sort,30000,225991180,0.12622,,,,,,,,,,,,,,,,
Insertion sort,32000,256124538,0.145788,,,,,,,,,,,,,,,,
Insertion sort,34000,289105828,0.164338,,,,,,,,,,,,,,,,
Insertion sort,36000,324441315,0.179752,,,,,,,,,,,,,,,,
Insertion sort,38000,362564599,0.199178,,,,,,,,,,,,,,,,
Insertion sort,40000,401514019,0.226293,,,,,,,,,,,,,,,,
Insertion sort,42000,441372195,0.250261,,,,,,,,,,,,,,,,
Insertion sort,44000,482835121,0.276138,,,,,,,,,,,,,,,,
Insertion sort,46000,530131072,0.301899,,,,,,,,,,,,,,,,
Insertion sort,48000,576620240,0.332842,,,,,,,,,,,,,,,,
Insertion sort,50000,626509716,0.356106,,,,,,,,,,,,,,,,
Selection sort,2000,1999000,0.00099,,,,,,,,,,,,,,,,
Selection sort,4000,7998000,0.003862,,,,,,,,,,,,,,,,
Selection sort,6000,17997000,0.008149,,,,,,,,,,,,,,,,
Selection sort,8000,31996000,0.01398,,,,,,,,,,,,,,,,
Selection sort,10000,49995000,0.021659,,,,,,,,,,,,,,,,
Selection sort,12000,71994000,0.031247,,,,,,,,,,,,,,,,
Selection sort,14000,97993000,0.043015,,,,,,,,,,,,,,,,
Selection sort,16000,127992000,0.055778,,,,,,,,,,,,,,,,
Selection sort,18000,161991000,0.071546,,,,,,,,,,,,,,,,
Selection sort,20000,199990000,0.088193,,,,,,,,,,,,,,,,
Selection sort,22000,241989000,0.107149,,,,,,,,,,,,,,,,
Selection sort,24000,287988000,0.130219,,,,,,,,,,,,,,,,
Selection sort,26000,337987000,0.146641,,,,,,,,,,,,,,,,
Selection sort,28000,391986000,0.170556,,,,,,,,,,,,,,,,
Selection sort,30000,449985000,0.198105,,,,,,,,,,,,,,,,
Selection sort,32000,511984000,0.223185,,,,,,,,,,,,,,,,
Selection sort,34000,577983000,0.263986,,,,,,,,,,,,,,,,
Selection sort,36000,647982000,0.295568,,,,,,,,,,,,,,,,
Selection sort,38000,721981000,0.326002,,,,,,,,,,,,,,,,
Selection sort,40000,799980000,0.361825,,,,,,,,,,,,,,,,
Selection sort,42000,881979000,0.387116,,,,,,,,,,,,,,,,
Selection sort,44000,967978000,0.426184,,,,,,,,,,,,,,,,
Selection sort,46000,1057977000,0.471727,,,,,,,,,,,,,,,,
Selection sort,48000,1151976000,0.549343,,,,,,,,,,,,,,,,
Selection sort,50000,1249975000,0.562267,,,,,,,,,,,,,,,,
Merge sort,2000,19415,0.000093,,,,,,,,,,,,,,,,
Merge sort,4000,42767,0.000198,,,,,,,,,,,,,,,,
Merge sort,6000,67811,0.000303,,,,,,,,,,,,,,,,
Merge sort,8000,93607,0.000414,,,,,,,,,,,,,,,,
Merge sort,10000,120393,0.000493,,,,,,,,,,,,,,,,
Merge sort,12000,147654,0.000601,,,,,,,,,,,,,,,,
Merge sort,14000,175354,0.000741,,,,,,,,,,,,,,,,
Merge sort,16000,203271,0.000811,,,,,,,,,,,,,,,,
Merge sort,18000,232075,0.000924,,,,,,,,,,,,,,,,
Merge sort,20000,261055,0.001037,,,,,,,,,,,,,,,,
Merge sort,22000,290130,0.001203,,,,,,,,,,,,,,,,
Merge sort,24000,319491,0.001305,,,,,,,,,,,,,,,,
Merge sort,26000,349014,0.001393,,,,,,,,,,,,,,,,
Merge sort,28000,378703,0.001502,,,,,,,,,,,,,,,,
Merge sort,30000,408697,0.001918,,,,,,,,,,,,,,,,
Merge sort,32000,438570,0.001746,,,,,,,,,,,,,,,,
Merge sort,34000,469114,0.001835,,,,,,,,,,,,,,,,
Merge sort,36000,499779,0.002007,,,,,,,,,,,,,,,,
Merge sort,38000,531004,0.002104,,,,,,,,,,,,,,,,
Merge sort,40000,561823,0.002294,,,,,,,,,,,,,,,,
Merge sort,42000,592869,0.002363,,,,,,,,,,,,,,,,
Merge sort,44000,623961,0.002509,,,,,,,,,,,,,,,,
Merge sort,46000,655523,0.002661,,,,,,,,,,,,,,,,
Merge sort,48000,686658,0.002824,,,,,,,,,,,,,,,,
Merge sort,50000,718094,0.002841,,,,,,,,,,,,,,,,
Quick sort,2000,23248,0.000087,,,,,,,,,,,,,,,,
Quick sort,4000,56173,0.000197,,,,,,,,,,,,,,,,
Quick sort,6000,89151,0.000363,,,,,,,,,,,,,,,,
Quick sort,8000,128155,0.000465,,,,,,,,,,,,,,,,
Quick sort,10000,159061,0.000517,,,,,,,,,,,,,,,,
Quick sort,12000,190844,0.000625,,,,,,,,,,,,,,,,
Quick sort,14000,224094,0.000759,,,,,,,,,,,,,,,,
Quick sort,16000,267467,0.001019,,,,,,,,,,,,,,,,
Quick sort,18000,301429,0.001193,,,,,,,,,,,,,,,,
Quick sort,20000,349062,0.001071,,,,,,,,,,,,,,,,
Quick sort,22000,364746,0.001158,,,,,,,,,,,,,,,,
Quick sort,24000,429440,0.001398,,,,,,,,,,,,,,,,
Quick sort,26000,452017,0.001368,,,,,,,,,,,,,,,,
Quick sort,28000,484970,0.001514,,,,,,,,,,,,,,,,
Quick sort,30000,513068,0.001684,,,,,,,,,,,,,,,,
Quick sort,32000,570314,0.001721,,,,,,,,,,,,,,,,
Quick sort,34000,617756,0.001844,,,,,,,,,,,,,,,,
Quick sort,36000,656102,0.001998,,,,,,,,,,,,,,,,
Quick sort,38000,766774,0.002166,,,,,,,,,,,,,,,,
Quick sort,40000,731322,0.002212,,,,,,,,,,,,,,,,
Quick sort,42000,753366,0.002321,,,,,,,,,,,,,,,,
Quick sort,44000,845426,0.002408,,,,,,,,,,,,,,,,
Quick sort,46000,872424,0.002554,,,,,,,,,,,,,,,,
Quick sort,48000,871802,0.00273,,,,,,,,,,,,,,,,
Quick sort,50000,983080,0.002781,,,,,,,,,,,,,,,,
Shell sort,2000,20500,0.000101,,,,,,,,,,,,,,,,
Shell sort,4000,51549,0.000222,,,,,,,,,,,,,,,,
Shell sort,6000,71296,0.000372,,,,,,,,,,,,,,,,
Shell sort,8000,116018,0.000492,,,,,,,,,,,,,,,,
Shell sort,10000,153268,0.000667,,,,,,,,,,,,,,,,
Shell sort,12000,189532,0.000802,,,,,,,,,,,,,,,,
Shell sort,14000,216156,0.00092,,,,,,,,,,,,,,,,
Shell sort,16000,303078,0.001162,,,,,,,,,,,,,,,,
Shell sort,18000,314564,0.001238,,,,,,,,,,,,,,,,
Shell sort,20000,354258,0.001398,,,,,,,,,,,,,,,,
Shell sort,22000,357215,0.001583,,,,,,,,,,,,,,,,
Shell sort,24000,458271,0.002003,,,,,,,,,,,,,,,,
Shell sort,26000,497869,0.002135,,,,,,,,,,,,,,,,
Shell sort,28000,509823,0.001988,,,,,,,,,,,,,,,,
Shell sort,30000,571893,0.002197,,,,,,,,,,,,,,,,
Shell sort,32000,760391,0.002568,,,,,,,,,,,,,,,,
Shell sort,34000,661309,0.002498,,,,,,,,,,,,,,,,
Shell sort,36000,749943,0.002748,,,,,,,,,,,,,,,,
Shell sort,38000,780589,0.002952,,,,,,,,,,,,,,,,
Shell sort,40000,899131,0.003208,,,,,,,,,,,,,,,,
Shell sort,42000,1021467,0.0034,,,,,,,,,,,,,,,,
Shell sort,44000,898479,0.00347,,,,,,,,,,,,,,,,
Shell sort,46000,973019,0.003624,,,,,,,,,,,,,,,,
Shell sort,48000,1060411,0.003998,,,,,,,,,,,,,,,,
Shell sort,50000,1206087,0.004094,,,,,,,,,,,,,,,,
iQuick sort,2000,22638,0.000062,,,,,,,,,,,,,,,,
iQuick sort,4000,52596,0.000128,,,,,,,,,,,,,,,,
iQuick sort,6000,89872,0.000197,,,,,,,,,,,,,,,,
iQuick sort,8000,122652,0.000278,,,,,,,,,,,,,,,,
iQuick sort,10000,151547,0.00036,,,,,,,,,,,,,,,,
iQuick sort,12000,178201,0.000429,,,,,,,,,,,,,,,,
iQuick sort,14000,235641,0.000521,,,,,,,,,,,,,,,,
iQuick sort,16000,254636,0.000634,,,,,,,,,,,,,,,,
iQuick sort,18000,291520,0.00071,,,,,,,,,,,,,,,,
iQuick sort,20000,327167,0.000874,,,,,,,,,,,,,,,,
iQuick sort,22000,362314,0.000922,,,,,,,,,,,,,,,,
iQuick sort,24000,415086,0.001032,,,,,,,,,,,,,,,,
iQuick sort,26000,450895,0.001018,,,,,,,,,,,,,,,,
iQuick sort,28000,489856,0.001213,,,,,,,,,,,,,,,,
iQuick sort,30000,497401,0.001221,,,,,,,,,,,,,,,,
iQuick sort,32000,548547,0.001273,,,,,,,,,,,,,,,,
iQuick sort,34000,579726,0.001407,,,,,,,,,,,,,,,,
iQuick sort,36000,660741,0.001611,,,,,,,,,,,,,,,,
iQuick sort,38000,626391,0.002223,,,,,,,,,,,,,,,,
iQuick sort,40000,666724,0.004385,,,,,,,,,,,,,,,,
iQuick sort,42000,733251,0.004877,,,,,,,,,,,,,,,,
iQuick sort,44000,757880,0.004764,,,,,,,,,,,,,,,,
iQuick sort,46000,816391,0.005382,,,,,,,,,,,,,,,,
iQuick sort,48000,852879,0.002078,,,,,,,,,,,,,,,,
iQuick sort,50000,889077,0.002153,,,,,,,,,,,,,,,,
